timestamp,park_name,attraction_name,posted_wait_time_min,temp_c,precip_mm,weather_condition,day_of_week,hour_of_day
2025-11-21T14:46:50.833057Z,,Danse Macabre,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Efteling Museum,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Fairytale Forest,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Symbolica,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Piraña,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,The Six Swans,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Droomvlucht,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,De Oude Tufferbaan,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Stoomcarrousel,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Halve Maen,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Sirocco,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Gondoletta,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Kindervreugd,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Baron 1898 Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Archipel,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Carnaval Festival,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Joris en de Draak Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Fabula,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Fata Morgana,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Monorail,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Anton Pieck Plein,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Max & Moritz,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Danse Macabre Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Kinderspoor,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Volkvanlaaf,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Pagode,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Droomvlucht VR,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Kleuterhof,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Symbolica Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,De Vliegende Hollander,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Diorama,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,De Vliegende Hollander Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Vogel Rok,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Nest!,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Python Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Max & Moritz Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Villa Volta,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Stoomtrein Marerijk,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Python,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Joris en de Draak,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Stoomtrein Ruigrijk,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Badhuys indoor splash pool,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:46:50.833057Z,,Baron 1898,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Stoomtrein Marerijk,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Badhuys indoor splash pool,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Sirocco,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Danse Macabre Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Python,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Pagode,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Villa Volta,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Anton Pieck Plein,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Efteling Museum,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Archipel,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Symbolica,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Droomvlucht VR,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Kinderspoor,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,De Vliegende Hollander,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Vogel Rok,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Max & Moritz Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Nest!,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Max & Moritz,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Stoomtrein Ruigrijk,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Danse Macabre,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,De Vliegende Hollander Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Piraña,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,The Six Swans,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Stoomcarrousel,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Monorail,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Carnaval Festival,15,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Baron 1898,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Joris en de Draak,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Diorama,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Halve Maen,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Baron 1898 Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Joris en de Draak Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Droomvlucht,25,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,De Oude Tufferbaan,20,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Symbolica Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Fata Morgana,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Kindervreugd,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Python Single-rider,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Kleuterhof,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Gondoletta,5,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Fabula,10,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Fairytale Forest,0,4.3,0.0,Clear Sky,5,14
2025-11-21T14:50:22.331368Z,,Volkvanlaaf,0,4.3,0.0,Clear Sky,5,14
2025-11-21T15:00:23.494956Z,,Volkvanlaaf,0,4.2,0.0,Clear Sky,5,15
